,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,time
0,lynne_hartman,"Lover of Jesus, my husband of 53 years, our children and grandbabies. Life is good because God is good!",,336,49,719,40,"Saturday’s debate got a little intense, but @theshemekamichelle laid down the truth! Say whatever you want about her delivery, the fact of the matter is, we DO have autonomy over our bodies! Stop the lies 🛑✋

#WalkAway #AbortionRights https://t.co/AJRRrgAhXw",[],2022-10-17 22:56:07+00:00
1,HarmonyJackson,,Calgary AB,206,141,2663,0,#AbortionRights are on the ballot #Midterms2022. Don’t f it up america. The world is watching #AbortionRightsAreHumanRights #AbortionIsHealthcare #WomensRightsIsHumanRights https://t.co/mwhvCpW1lg,"['AbortionRights', 'Midterms2022', 'AbortionRightsAreHumanRights', 'AbortionIsHealthcare', 'WomensRightsIsHumanRights']",2022-10-17 22:40:15+00:00
2,Drew31435169,"#Rigamarole
#Pureblood",,757,174,27127,40,"Saturday’s debate got a little intense, but @theshemekamichelle laid down the truth! Say whatever you want about her delivery, the fact of the matter is, we DO have autonomy over our bodies! Stop the lies 🛑✋

#WalkAway #AbortionRights https://t.co/AJRRrgAhXw",[],2022-10-17 22:40:15+00:00
3,jamespeipi,,,122,29,192,40,"Saturday’s debate got a little intense, but @theshemekamichelle laid down the truth! Say whatever you want about her delivery, the fact of the matter is, we DO have autonomy over our bodies! Stop the lies 🛑✋

#WalkAway #AbortionRights https://t.co/AJRRrgAhXw",[],2022-10-17 22:39:54+00:00
4,BurnessRaphael,"“When government fears the people, there is liberty. When the people fear the government, there is tyranny.""",,249,27,1697,40,"Saturday’s debate got a little intense, but @theshemekamichelle laid down the truth! Say whatever you want about her delivery, the fact of the matter is, we DO have autonomy over our bodies! Stop the lies 🛑✋

#WalkAway #AbortionRights https://t.co/AJRRrgAhXw",[],2022-10-17 22:38:15+00:00
5,msmellymel,"Underrated GenX muse.Jill-of-many-trades.Addicted to the arts,donuts,wine,cheeseburgers.Feisty feminist.Adventure junkie.UNM LOBOalum.Historian.WarehouseMngr.",United States,1000,276,7831,0,"Well, in that case ….

… it’s still NOT good enough. 

#abortion 
#abortionrights #bodilyautonomy #selfdetermination  https://t.co/YTkRqGjHOh","['abortion', 'abortionrights', 'bodilyautonomy', 'selfdetermination']",2022-10-17 22:34:14+00:00
6,Anthony16359994,,,22,2,231,40,"Saturday’s debate got a little intense, but @theshemekamichelle laid down the truth! Say whatever you want about her delivery, the fact of the matter is, we DO have autonomy over our bodies! Stop the lies 🛑✋

#WalkAway #AbortionRights https://t.co/AJRRrgAhXw",[],2022-10-17 22:28:53+00:00
7,TheEllaMental,Freedom and Truth- ███ for ?? validity of election-pureblood UltraMaga for life -No DMs-!!-LGB & FJB-!!!-IFB most- https://t.co/mGlrFzsABj,"North Carolina, USA",4415,2999,10004,40,"Saturday’s debate got a little intense, but @theshemekamichelle laid down the truth! Say whatever you want about her delivery, the fact of the matter is, we DO have autonomy over our bodies! Stop the lies 🛑✋

#WalkAway #AbortionRights https://t.co/AJRRrgAhXw",[],2022-10-17 22:28:00+00:00
8,LetsGoSPAC,"🇺🇸 Lets Go, LLC is a non-partisan Super PAC. We support community initiatives and candidates that protect the interests of real Americans. No DM's.",United States,3634,4435,2644,40,"Saturday’s debate got a little intense, but @theshemekamichelle laid down the truth! Say whatever you want about her delivery, the fact of the matter is, we DO have autonomy over our bodies! Stop the lies 🛑✋

#WalkAway #AbortionRights https://t.co/AJRRrgAhXw",[],2022-10-17 22:24:22+00:00
9,nordygirl39,"Pharmacist, science and animal lover, and part time activist. #smashthepatriarchy",,2343,1358,57155,1,"Make sure you know who the Pro-Choice Congressional candidates are!! Don't let them down. Vote November 8th!
Click here to learn more: https://t.co/IAAuUvrxkA
#voteabortionrights #abortionrights #vote #bansoffourbodies #abortionishealthcare https://t.co/QuGvottBtl",[],2022-10-17 22:21:16+00:00
