,Unnamed: 0,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,time,location_lat,location_long
0,0,lynne_hartman,"Lover of Jesus, my husband of 53 years, our children and grandbabies. Life is good because God is good!",,336,49,719,40,"Saturday ’ s debate got a little intense , but laid down the truth ! Say whatever you want about her delivery , the fact of the matter is , we DO have autonomy over our ! Stop the WalkAway",[],2022-10-17 22:56:07+00:00,,
1,1,HarmonyJackson,,,206,141,2663,0,are on the ballot Midterms2022 . Don ’ t f it up . The world is watching,"['AbortionRights', 'Midterms2022', 'AbortionRightsAreHumanRights', 'AbortionIsHealthcare', 'WomensRightsIsHumanRights']",2022-10-17 22:40:15+00:00,,
2,2,Drew31435169,"#Rigamarole
#Pureblood",,757,174,27127,40,"Saturday ’ s debate got a little intense , but laid down the truth ! Say whatever you want about her delivery , the fact of the matter is , we DO have autonomy over our ! Stop the WalkAway",[],2022-10-17 22:40:15+00:00,,
3,3,jamespeipi,,,122,29,192,40,"Saturday ’ s debate got a little intense , but laid down the truth ! Say whatever you want about her delivery , the fact of the matter is , we DO have autonomy over our ! Stop the WalkAway",[],2022-10-17 22:39:54+00:00,,
4,4,BurnessRaphael,"“When government fears the people, there is liberty. When the people fear the government, there is tyranny.""",,249,27,1697,40,"Saturday ’ s debate got a little intense , but laid down the truth ! Say whatever you want about her delivery , the fact of the matter is , we DO have autonomy over our ! Stop the WalkAway",[],2022-10-17 22:38:15+00:00,,
5,5,msmellymel,"Underrated GenX muse.Jill-of-many-trades.Addicted to the arts,donuts,wine,cheeseburgers.Feisty feminist.Adventure junkie.UNM LOBOalum.Historian.WarehouseMngr.",United,1000,276,7831,0,"Well , in that case …. … it ’ s still NOT good enough . abortion","['abortion', 'abortionrights', 'bodilyautonomy', 'selfdetermination']",2022-10-17 22:34:14+00:00,37.9906638,-81.4264987
6,6,Anthony16359994,,,22,2,231,40,"Saturday ’ s debate got a little intense , but laid down the truth ! Say whatever you want about her delivery , the fact of the matter is , we DO have autonomy over our ! Stop the WalkAway",[],2022-10-17 22:28:53+00:00,,
7,7,TheEllaMental,Freedom and Truth- ███ for ?? validity of election-pureblood UltraMaga for life -No DMs-!!-LGB & FJB-!!!-IFB most- https://t.co/mGlrFzsABj,"North Carolina ,",4415,2999,10004,40,"Saturday ’ s debate got a little intense , but laid down the truth ! Say whatever you want about her delivery , the fact of the matter is , we DO have autonomy over our ! Stop the WalkAway",[],2022-10-17 22:28:00+00:00,35.6729639,-79.0392919
8,8,LetsGoSPAC,"🇺🇸 Lets Go, LLC is a non-partisan Super PAC. We support community initiatives and candidates that protect the interests of real Americans. No DM's.",United,3634,4435,2644,40,"Saturday ’ s debate got a little intense , but laid down the truth ! Say whatever you want about her delivery , the fact of the matter is , we DO have autonomy over our ! Stop the WalkAway",[],2022-10-17 22:24:22+00:00,37.9906638,-81.4264987
9,9,nordygirl39,"Pharmacist, science and animal lover, and part time activist. #smashthepatriarchy",,2343,1358,57155,1,Make sure you know who the Pro - Choice Congressional are !! Dont let them down . Vote November 8th ! Click here to learn more : vote,[],2022-10-17 22:21:16+00:00,,
10,10,TrevorGee9,"Music lover, aging hippie, international traveler, fisherman, wannabe chef, gardener, proud grandfather, penguins are ❤️Dem, libtard, antifa #VoteBlue22","Point ,",3481,1891,13523,3,Lee is endorsed by Donald Trump . Is he someone you want as Governor ?? Extremist Lee a national abortion ban in Congress . Follow the . Vote for Kathy and Antonio on November 8th .,[],2022-10-17 22:17:23+00:00,32.9315089,-95.8713542
11,11,ms_lady1229,,Some where over the rainbow,52,21,6674,40,"Saturday ’ s debate got a little intense , but laid down the truth ! Say whatever you want about her delivery , the fact of the matter is , we DO have autonomy over our ! Stop the WalkAway",[],2022-10-17 22:14:22+00:00,,
12,12,MGrzej,looking for someone to marry in a red state to escape UK,,106,18,2046,40,"Saturday ’ s debate got a little intense , but laid down the truth ! Say whatever you want about her delivery , the fact of the matter is , we DO have autonomy over our ! Stop the WalkAway",[],2022-10-17 22:11:50+00:00,,
13,13,ChoiceMatters,"Mission: keep full reproductive healthcare, incldng abortion, legal & ensure all women have access SO We Work with ProChoice Candidates at all levels of Gov","County ,",347,238,1850,1,Make sure you know who the Pro - Choice Congressional are !! Dont let them down . Vote November 8th ! Click here to learn more : vote,"['voteabortionrights', 'abortionrights', 'vote', 'bansoffourbodies', 'abortionishealthcare']",2022-10-17 22:04:11+00:00,39.982355,112.397213
14,14,loboresin,Wolf Furry,,355,41,3119,40,"Saturday ’ s debate got a little intense , but laid down the truth ! Say whatever you want about her delivery , the fact of the matter is , we DO have autonomy over our ! Stop the WalkAway",[],2022-10-17 22:03:43+00:00,,
15,15,JeffLewisNY,"proud NYer🗽Buffalo ↔️ Brooklyn, team @KathyHochul + @nydems, news & book junkie, volleyballer, aspiring egot winner. he/him 🏳️‍🌈 black trans lives matter",",",3329,3805,4753,3,Lee is endorsed by Donald Trump . Is he someone you want as Governor ?? Extremist Lee a national abortion ban in Congress . Follow the . Vote for Kathy and Antonio on November 8th .,[],2022-10-17 22:03:39+00:00,,
16,16,suzi_q2,sometimes I eat peanut butter out of the jar,New York,3626,2335,123843,3,Lee is endorsed by Donald Trump . Is he someone you want as Governor ?? Extremist Lee a national abortion ban in Congress . Follow the . Vote for Kathy and Antonio on November 8th .,[],2022-10-17 22:03:23+00:00,40.7127281,-74.0060152
17,17,ChoiceMatters,"Mission: keep full reproductive healthcare, incldng abortion, legal & ensure all women have access SO We Work with ProChoice Candidates at all levels of Gov","County ,",347,238,1850,3,Lee is endorsed by Donald Trump . Is he someone you want as Governor ?? Extremist Lee a national abortion ban in Congress . Follow the . Vote for Kathy and Antonio on November 8th .,['abortionrights'],2022-10-17 22:02:51+00:00,39.982355,112.397213
18,18,farrellhamann,"Visual artist, novelist, writer's file Tonight Show, art in White House collection, paintings, lived in Paris.  Sculpture, mosaics, TV. Novelist, mariner Alaska","Sacramento , Santa Barbara , Ca",5032,4306,195932,2,"what you LIVE on The Young this week : bigotry , creepy , Republican hypocrisy on , , and much more ! Watch at 6pm / 3pm on or !","['KanyeWest', 'MattWalsh', 'Republican']",2022-10-17 22:01:08+00:00,36.5326083,-6.3003678
19,19,AndreWillingha2,"Democrat, Detroit Tigers, Pistons, and Lions fan, hip-hop fan, moviegoer, non-religious, video gamer",", MI",1286,1426,153500,2,"what you LIVE on The Young this week : bigotry , creepy , Republican hypocrisy on , , and much more ! Watch at 6pm / 3pm on or !","['KanyeWest', 'MattWalsh', 'Republican']",2022-10-17 22:01:06+00:00,39.7837304,-100.445882
20,20,itsfuninhere,"A democrat's accusation is, in reality, a confession.",,894,588,27185,40,"Saturday ’ s debate got a little intense , but laid down the truth ! Say whatever you want about her delivery , the fact of the matter is , we DO have autonomy over our ! Stop the WalkAway",[],2022-10-17 22:00:16+00:00,,
21,21,AnAdamant,,,206,266,20134,1,"It is THE issue . Get back on it , . It will cause , men , , and , to lose autonomy , their control over their . The right to privacy is at stake .",['AbortionRights'],2022-10-17 21:59:16+00:00,,
22,22,TheYoungTurks,Hosted by @CenkUygur & @AnaKasparian. Watch #tytlive weeknights at 6pm eastern https://t.co/qAhsLwoIzD,", CA",9729,445905,109487,2,"what you LIVE on The Young this week : bigotry , creepy , Republican hypocrisy on , , and much more ! Watch at 6pm / 3pm on or !","['KanyeWest', 'MattWalsh', 'Republican', 'AbortionRights', 'HurricaneIan', 'tytlive']",2022-10-17 21:58:27+00:00,61.0666922,-107.991707
23,23,indivisiblestcv,We are activists working to support progressive policies and strengthen our democracy in the St. Croix Valley and greater Minnesota.,"Stillwater ,",420,211,8759,0,"Hello - even though you have a cheat sheet you to deny that abortion is on the ballot , guess what ? ITS ON THE BALLOT .","['AbortionRights', 'GOP']",2022-10-17 21:57:18+00:00,36.1156306,-97.0585717
24,24,Theywillcome4U,"Those that run the world are either: greedy, evil, satanic, serial killing, or pedophiles. (Usually a combo) They want to divide us for continuous control.",Midwest,2069,1768,56621,40,"Saturday ’ s debate got a little intense , but laid down the truth ! Say whatever you want about her delivery , the fact of the matter is , we DO have autonomy over our ! Stop the WalkAway",[],2022-10-17 21:55:30+00:00,43.411391,-106.280075
25,25,letsgetrealtal1,"I'm a Woman & Veteran-
Been Fighting For My Body My Choice For Decades-
Turn Texas Blue- 
Texas Democrats Will Vote-
#AbbottIsTheCrisis -
#BLM #ItTakesCourage",",",3031,1035,58215,0,You support a National Abortion Ban with No for Rape Incest or Life of the Mother .,"['WomensRights', 'AbortionRights', 'RoeRoeRoeYourVote']",2022-10-17 21:52:57+00:00,,
